Segment Number,Scene Title ,Start Time 2,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - camera cut,Scene Details - setting,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,valence
46,,141,02:21,02:27,176,"Gru keeps reading:"" ""'We can't sleep, we can't even try' Then their mother sang a lullaby.""",,,Indoor,"Gru, Agnes, Edith, Margo","Gru, Agnes, Edith, Margo",Gru,Bedroom,long,,yes,1,+
47,,147,02:27,02:34,184,"A closer shot of Gru, Anges, and Edith:""""'Good night kittens, close your eyes. Sleep in peace until you rise.""",,,Indoor,"Gru Agnes, Edith",Gru,Gru,Bedroom,medium,,no,2,+
48,,154,02:34,02:36,193,"A closer shot of Gru, Anges, and Edith:""""'Though while you sleep, we are apart,""",,,Indoor,"Gru Agnes, Edith",Gru,Gru,Bedroom,medium,,no,1,+
49,,156,02:36,02:44,195,"A closer shot of Gru, Anges, and Edith:"" 'your mommy loves you with all her heart.""",,,Indoor,"Gru Agnes, Edith",Gru,Gru,Bedroom,medium,,no,1,+
50,ask Gru to kiss them,165,02:45,02:49,206,"Gru closes the book and stands up to walk out of the shot:"" the end. Okay, good night.""",Shot 32,3. in the bedroom--ask Gru to kiss them,Indoor,"Gru Agnes, Edith",Gru,Gru,Bedroom,long,,no,3,+
51,,169,02:49,02:50,211,"Agnes looks at Gru:"" Wait!""",,,Indoor,"Gru Agnes, Edith",Agnes,Agnes,Bedroom,long,,no,3,-
52,,170,02:50,02:51,213,"Gru truns to the camera:"" What?""",shot 33,,Indoor,Gru,Gru,Gru,Bedroom,medium,,no,2,-
53,,172,02:52,02:53,215,"Agnes:""what about good night kisses?""",shot 34,,Indoor,Agnes,Agnes,Agnes,Bedroom,medium,,no,3,-
54,,174,02:54,02:55,218,"Gru truns his face to the door:""No, no.""",shot 35,,Indoor,"Gru, Agnes, Edith, Margo",Gru,Gru,Bedroom,medium,,yes,2,-
55,,176,02:56,02:59,220,"Gru goes out and closes the door:""There will be no kissing or hugging or kissing.""",shot 36,,Indoor,Gru,Gru,Gru,Bedroom,medium,,yes,2,-
56,talking about Gru and sleep,180,03:00,03:01:40,225,Girls kumps out of the bed,shot 37,4. in the bedroom--talking about Gru and sleep,Indoor,"Anges, Edith, Margo","Anges, Edith, Margo",not apply,Bedroom,long,,yes,1,-
57,,181.5,03:01:55,03:04,227,"Margo lies down and closes the lamp:""He is not gonna kiss us good night, Agnes.""",shot 38,,Indoor,Margo,Margo,Margo,Bedroom,close up,,yes,1,-
