Segment Number,Scene Title ,Start Time (s) , End Time (s) ,Start TR,"Segment Details - dialogue, movement",Shot Details - when the camera cuts,Scene Details ,Space-In/Outdoor,Name - All,Name - Focus,Name - Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal (?),valence (+ / - ),,,,,,,
95,,428,430,535,He sits up and goes to move the covers,,,Indoor ,Gru,Gru,-,Bedroom,Medium,,Y,2, -,,,,,,,
96,,430,432,538,"The covers are pulled away to reveal some of the girls' toys, including a big doll head", ,,Indoor,-,-,-,Bedroom,Close,,Y,1, -,,,,,,,
97,,432,432,540,"Gru screams, flies up and off the bed",,,Indoor,Gru,Gru,Gru,Bedroom,Medium,,Y,4, -,,,,,,,
98,,433,435,541,"Gru is heard screaming in frustration, a bunch of birds fly up from the roof of the house", ,,Outdoor,-,-,Gru,Street,Long,,Y,3, -,,,,,,,
99,"Rocket launch preparation - minions prepaing, Gru in spacesuit, handed ticket, entering rocket",435,438,544,"A launch room full of minions, can all be heard mumbling",,18. Preparing for launch,Indoor,Minions,-,-,Launch room,Long,,Y,1, -,,,,,,,
100,,439,442,549,"Gate opens and Gru steps in through steam, wearing a pink spacesuit",,,Indoor,Gru,Gru,-,Rocket hangar,Long,,Y,1, +,,,,,,,
101,,442,443,553,Gru walks with a determined expression,,,Indoor,Gru,Gru,-,Rocket hangar,Close,,Y,1, -,,,,,,,
102,,444,451,555,The camera pans from Grus feet at the end of a platform up to his face where he secures a glass helmet, ,,Indoor,Gru,Gru,-,Rocket hangar,Close,,Y,1, -,,,,,,,
103,,451,453,564,"A minion operates a huge spotlight, turning it",,,Indoor,Minion,Minion,-,Rocket hangar,Long,,Y,1, -,,,,,,,
104,,453,453,566,The light is directed at the rocket,,,Indoor,Minion,-,-,Rocket hangar,Long,,Y,1, -,,,,,,,
105,,454,460,568,The light and camera pan up the rocket,,,Indoor,-,-,-,Rocket hangar,Medium,,Y,2, -,,,,,,,
106,,460,466,575,"Shot of Gru as a child looking up at the moon, fades into Gru now looking up at the rocket", ,,Indoor,Gru,Gru,-,Windown/Rocket hangar,Medium,,Y,2, -,,,,,,,
107,,466,469,583,"A regular minion holding the very small minion comes running, panting and stops beside Gru as platform under them starts ascending", ,19. Reminded of the girls(' recital),Indoor,"Gru, Minions (2)",Minions (2),-,Rocket hangar,Close,,Y,1, -,,,,,,,
108,,469,471,586,The platform ascends with Gru and the minions on it,,,Indoor,"Gru, minions (2)",-,-,Rocket hangar,Long,,Y,1, +,,,,,,,
109,,471,475,589,"The regular sized minion says some gibberish and puts a ticket in Gru's hand. Gru looks first at the ticket, then at the minion and says: ""What is this for?""", ,,Inddor,"Gru, minions (2)","Gru, minions (2)","Minion, Gru",Rocket hangar,Medium,,Y,2, -,,,,,,,
110,,475,476,594,The regular sized minion answers with more gibberish,,,Indoor,Minions (2),Minions (2),Minion,Rocket hangar,Medium,,Y,1, +,,,,,,,
