Scene Title ,Segment Number,Start Time 2,Start Time (s) , End Time (s) ,Start TR,Camera cut,"Segment Details - dialogue, movement",Scene Details - setting,Space,Name - All,Name - Focus,Speaking,Location,Camera Angle,Words on Screen ,Music Presence ,Arousal,Valence,Temporal Relationship ,Type of Jump,,,,,
,79,322,5:22,5:23,403,61,Gru heads towards the door,,Indoor,Gru,Gru,"Agnes: ""Clink!""",Corridor,long,no,yes,2,+,,,,,,,
,80,324,5:24,5:25,405,62,Gru opens the door,,Outdoor,"Gru, Ms. Hattie",Gru,"Gru: ""Oh! Ms. Hattie,""",Doorway,short,no,no,2,-,,,,,,,
Ms. Hattie comes to take the girls away ,81,326,5:26,5:26,408,63,Ms. Hattie looks unimpressed,,Outdoor,"Gru, Ms. Hattie",Ms. Hattie,"Gru: ""What are you doing here?""",Doorway,short,no,no,3,-,,,,,,,
,82,327,5:27,5:31,409,64,"Ms. Hattie says she is here to pick up the girls, since someone told her Gru wanted to ""return them""",,Outdoor,"Gru, Ms. Hattie",Ms. Hattie,"Ms. Hattie: ""I'm here for the girls. I received a call that you wanted to return them.""",Doorway,medium,no,no,3,-,,,,,,,
,83,332,5:32,5:34,415,65,Gru looks concerned,,Outdoor,Gru,Gru,N/A,Doorway,short,no,yes,4,-,,,,,,,
,84,335,5:35,5:38,419,66,Ms. Hattie flips through a spanish dictionary,,Outdoor,"Gru, Ms. Hattie",Ms. Hattie,"Ms. Hattie: ""And also, I did purchase a Spanish dictionary.""",Doorway,medium,yes,yes,4,-,,,,,,,
,85,339,5:39,5:41,424,67,Ms. Hattie slaps Gru in the face and shoves the dictionary at him,,Outdoor,"Gru, Ms. Hattie",Gru,N/A,Doorway,short,no,yes,4,-,,,,,,,
,86,342,5:42,5:43,428,68,"Ms. Hattie says ""she doesn't like what [Gru] said""",,Outdoor,"Gru, Ms. Hattie",Ms. Hattie,"Ms. Hattie: ""I didn't like what you said.""",Doorway,short,no,yes,4,-,,,,,,,
,87,344,5:44,5:45,430,69,Dr. Nefario walks in from behind and clears his throat,,Indoor,"Gru, Dr. Nefario, Ms. Hattie",Dr. Nefario,"Gru: ""But, I...""",Doorway,long,no,yes,4,-,,,,,,,
,88,347,5:47,5:47,434,70,Dr. Nefario looks pointedly at Gru,,Indoor,Dr. Nefario,Dr. Nefario,N/A,Doorway,medium,no,yes,4,-,,,,,,,
,89,348,5:48,5:54,435,71,Gru looks downcast and says he will get the girls ready,,Indoor,"Gru, Ms. Hattie",Gru,"Gru: ""Oh. I will get the girls readh.""",Doorway,medium,yes,yes,4,-,,,,,,,
,90,355,5:55,6:01,444,72,Gru brings the girls out of the house with their belongings. Agnes is clinging onto Gru.,,Outdoor,"Gru, Edith, Margo, Agnes, Ms. Hattie",Gru,N/A,Driveway,long,no,yes,3,-,,,,,,,
,91,362,6:02,6:05,453,73,Agnes begs Gru to not let Ms. Hattie take them away,,Outdoor,"Gru, Edith, Margo, Agnes, Ms. Hattie",Agnes,"Agnes: ""Don't let her take us Mr. Gru!""",Driveway,medium,no,yes,4,-,,,,,,,
,92,366,6:06,6:08,458,74,Agnes falls into the car and tells Gru to keep them,,Outdoor,"Edith, Margo, Agnes",Agnes,"Agnes: ""Tell her you wanna keep us!""",Driveway,medium,no,yes,4,-,,,,,,,
,93,369,6:09,6:10,461,75,Ms. Hattie says it's time to go,,Outdoor,"Gru, Ms. Hattie",Ms. Hattie,"Ms. Hattie: ""Alright girls, come on, let's go.""",Driveway,medium,no,yes,3,-,,,,,,,
,94,371,6:11,6:13,464,76,Margo comforts Agnes and bitterly thanks Gru,,Outdoor,"Edith, Margo, Agnes",Margo,"Margo: ""Goodbye Mr. Gru. Thanks for everything.""",Driveway,medium,no,yes,4,-,,,,,,,
,95,374,6:14,6:15,468,77,Ms. Hattie slams the door and walks away,,Outdoor,"Gru, Ms. Hattie","Gru, Ms. Hattie",N/A,Driveway,medium,no,yes,4,-,,,,,,,
,96,376,6:16,6:17,470,78,Margo rolls her car window up,,Outdoor,"Edith, Margo, Agnes","Edith, Margo, Agnes",N/A,Driveway,medium,no,yes,3,-,,,,,,,
,97,378,6:18,6:20,473,79,Ms. Hattie gets in the car and starts the engine,,Outdoor,"Gru, Edith, Margo, Agnes, Ms. Hattie","Gru, Edith, Margo, Agnes, Ms. Hattie",N/A,Driveway,long,no,yes,3,-,,,,,,,
,98,381,6:21,6:22,476,80,The car starts to pull away,,Outdoor,Gru,Gru,N/A,Driveway,short,no,yes,3,-,,,,,,,
,99,383,6:23,6:23,479,81,Gru looks sad to see the girls go,,Outdoor,Gru,Gru,N/A,Driveway,short,no,yes,3,-,,,,,,,
,100,384,6:24,6:28,480,82,Gru looks at the car as it drives away,,Outdoor,Gru,Gru,N/A,Driveway,long,no,yes,3,-,,,,,,,
,101,389,6:29,6:31,486,83,Dr. Nefario tells Gru he did it for Gru's sake,,Indoor,"Gru, Dr. Nefario",Dr. Nefario,"Dr. Nefario: ""I did it for your own good.""",Doorway,medium,no,yes,3,-,,,,,,,
,102,392,6:32,6:37,490,84,"Dr. Nefario says ""Let's go get that moon"", and Gru flatly agrees",,Outdoor,"Gru, Dr. Nefario",Gru,"Dr. Nefario: ""Come on! Let's go get that moon.""",Doorway,medium,no,yes,3,-,,,,,,,
,103,398,6:38,6:41,498,85,Gru walks into the house and shuts the door,,Indoor,Gru,Gru,"Gru: ""Right.""",Doorway,medium,no,yes,3,-,,,,,,,
,104,402,6:42,6:45,503,85,"Minion sobs at the window, hugging a toy minion to itself",,Indoor,Bob,Bob,Bob cries,Front door window,medium,no,yes,4,-,,,,,,,
Gru is affected by the girls' absence,105,406,6:46,6:47,508,86,Gru sits at a table for dinner by himself,Gru looks sad and lonely without the girls,Indoor,Gru,Gru,N/A,Dinner table,long,no,yes,2,-,,,,,,,
,106,408,6:48,6:50,510,87,Gru pushes his food around without eating,,Indoor,Gru ,Gru,N/A,Dinner table,short,no,yes,2,-,,,,,,,
,107,411,6:51,6:52,514,88,Gru walks into the corridor,,Indoor,Gru,Gru,N/A,Corridor,medium,no,yes,2,-,,,,,,,
,108,413,6:53,6:54,516,89,3 minions scrub at the drawing the girls made on the walls,,Indoor,"Gru, 3 minions",3 minions,N/A,Corridor,medium,no,yes,2,-,,,,,,,
,109,414,6:54,6:55,518,90,Gru looks at the drawing,,Indoor,Gru,Gru,N/A,Corridor,short,no,yes,2,-,,,,,,,
,110,416,6:56,6:58,520,91,Drawing of the girls under the family tree is erased by the minions,,Indoor,2 minions,N/A,N/A,Corridor,short,yes,yes,2,-,,,,,,,
,111,419,6:59,7:00,524,92,Gru frowns and sighs,,Indoor,Gru,Gru,N/A,Corridor,short,no,yes,2,-,,,,,,,
,112,421,7:01,7:02,526,93,Margo looks out from a cardboard box cutout,,Indoor,Margo,Margo,N/A,Foster care,short,no,yes,2,-,,,,,,,
,113,423,7:03,7:05,529,94,"All 3 girls sit in ""boxes of shame""",,Indoor,"Edith, Margo, Agnes","Edith, Margo, Agnes",N/A,Foster care,medium,yes,yes,2,-,,,,,,,
,114,426,7:06,7:08,533,95,Gru lies in bed and feels something,,Indoor,Gru,Gru, N/A,Gru's Bedroom,long,,yes,2,-,,,,,,,
,115,429,7:09,7:10,536,96,Gru sits up to see what is under the covers,,Indoor,Gru,Gru,N/A,Gru's Bedroom,medium,no,yes,2,-,,,,,,,
,116,430,7:10,7:11,538,97,Gru yanks back the covers to see the girls' toys,,Indoor,N/A,N/A,N/A,Gru's Bedroom,short,no,yes,2,-,,,,,,,
,117,432,7:12,7:13,540,98,"Gru is surprised and screams, falling backwards out of the bed",,Indoor,Gru,Gru,Gru screams,Gru's Bedroom,medium,no,yes,4,-,,,,,,,
,118,434,7:14,7:15,543,99,Gru's scream makes the birds fly from the house,,Outdoor,N/A,N/A,N/A,Outdoor view of house,long,no,yes,4,-,,,,,,,
Gru puts his heist into action,119,436,7:16,7:19,545,100,Many minions are working and talking,Gru prepares for launch,Indoor,Many minions,minions,minions chatters indistinctly,Lair,medium,no,yes,4,+,,,,,,,
,120,439,7:19,7:22,549,101,Gru walks into the lair in a pink astronaut suit,,Indoor,Gru,Gru,N/A,Lair,long,no,yes,3,+,,,,,,,
,121,443,7:23,7:24,554,102,Gru looks serious and determined,,Indoor,Gru,Gru,N/A,Lair,short,no,yes,3,+,,,,,,,
,122,445,7:25,7:31,556,103,Gru puts his helmet on,,Indoor,Gru,Gru,N/A,Lair,short,no,yes,3,+,,,,,,,
,123,452,7:32,7:33,565,104,A camera light turns on and pivots,,Indoor,1 minion,N/A,N/A,Lair,short,no,yes,3,+,,,,,,,
,124,453,7:33,7:34,566,105,A minion turns on another light and rotates it,,Indoor,1 minion,N/A,N/A,Lair,long,no,yes,3,+,,,,,,,
,125,455,7:35,7:40,569,106,The light pans to show a large rocket,,Indoor,N/A,N/A,N/A,Lair,long,no,yes,3,+,,,,,,,
,126,461,7:41,7:42,576,107,A young Gru in a cardboard astronaut suit looks out of the window,,Indoor,Gru,Gru,N/A,"In the past, looking out of window",short,no,yes,2,+,,,,,,,
,127,463,7:43,7:46,579,108,Present-day Gru's image superimposes on top of young Gru,,Indoor,Gru,Gru,N/A,Lair,short,no,yes,2,+,,,,,,,
,128,467,7:47,7:49,584,109,A minion hurries onto the platform that Gru is standing on,,Indoor,"Bob, Gru",Bob,N/A,Lair,medium,no,yes,3,+,,,,,,,
,129,470,7:50,7:51,588,110,The platform raises up ,,Indoor,"Bob, Gru",Bob,N/A,Lair,long,no,yes,3,+,,,,,,,
